Project Name,Layer Type,GitHub Repository URL,Category,Purpose/Specialization,Description
Linea,L2,https://github.com/ConsenSys/linea-monorepo,General,General Purpose,"ConsenSys zkEVM rollup"
Mantle,L2,https://github.com/mantlenetworkio/mantle,General,General Purpose,"Ethereum L2 with modular architecture"
Scroll,L2,https://github.com/scroll-tech/scroll,General,General Purpose,"Native zkEVM Layer 2 scaling solution"
Immutable X,L2,https://github.com/immutable/imx-core-sdk,Industry Specific,Gaming/NFTs,"L2 focused on NFTs and gaming with zero gas fees"
Loopring,L2,https://github.com/Loopring/protocols,Industry Specific,DEX/Trading,"zkRollup specialized for decentralized exchanges"
Starknet,L2,https://github.com/starkware-libs/cairo,General,General Purpose,"Validity rollup using STARK proofs"
Skale,L2,https://github.com/skalenetwork/skale-network,General,Gaming,"Elastic blockchain network with zero gas fees"
Theta,L1,https://github.com/thetatoken/theta-protocol-ledger,Industry Specific,Video Streaming,"Decentralized video delivery network"
Heco Chain,L1,https://github.com/HuobiGroup/huobi-eco-chain,General,DeFi,"Huobi's blockchain for DeFi applications"
Soneium,L1,https://github.com/soneium/soneium-node,Industry Specific,Healthcare/Biotech,"Blockchain tailored for healthtech and biotech"
Abstract,L2,https://github.com/AbstractProtocol/abstract,General,Account Abstraction,"Built around native account abstraction"
B3,L1,https://github.com/b3labs/b3-node,Industry Specific,AI Integration,"EVM chain optimized for AI and blockchain integration"
ApeChain,L1,https://github.com/ApeCoin/apechain,Industry Specific,Gaming/Entertainment,"Designed for ApeCoin ecosystem and gaming"
Taiko,L2,https://github.com/taikoxyz/taiko-mono,General,General Purpose,"Ethereum-equivalent zkRollup"
Manta Pacific,L2,https://github.com/Manta-Network/Manta,General,Privacy,"Modular ecosystem for zero-knowledge applications"
Blast,L2,https://github.com/blast-io/blast,General,Native Yield,"L2 with native yield for ETH and stablecoins"
Mode Network,L2,https://github.com/mode-network/mode,General,DeFi,"L2 focused on growing the creator economy"
Zora Network,L2,https://github.com/ourzora/zora-protocol,Industry Specific,NFTs/Media,"L2 optimized for NFTs and creative content"
Redstone,L2,https://github.com/redstone-finance/redstone-node,General,Gaming,"High-performance L2 for gaming applications"
Cyber,L2,https://github.com/cyberconnecthq/cyber-node,Industry Specific,Social,"L2 for social and identity applications"
Story Protocol,L1,https://github.com/storyprotocol/story-geth,Industry Specific,IP Management,"L1 blockchain for intellectual property management"
Berachain,L1,https://github.com/berachain/beacon-kit,General,DeFi/Liquidity,"EVM-identical L1 with Proof of Liquidity consensus"
Sahara AI,L1,https://github.com/sahara-labs/sahara-chain,Industry Specific,AI/Data,"Blockchain for AI model training and data monetization"
Newton,L1,https://github.com/newtonproject/newchain,Industry Specific,IoT/Commerce,"Blockchain for community commerce and IoT applications"
GAIA,L1,https://github.com/cosmos/gaia,General,Cross-chain,"Cosmos Hub with EVM compatibility via Evmos"
Mantra Chain,L1,https://github.com/MANTRA-Finance/MANTRA-chain,Industry Specific,RWA/Compliance,"Regulated blockchain for real-world assets"
VANA,L1,https://github.com/vana-com/vana-network,Industry Specific,Data Ownership,"Decentralized network for user-owned data"
Plume Network,L1,https://github.com/plumenetwork/plume,Industry Specific,RWA,"EVM-compatible blockchain for real-world assets"
Morph,L2,https://github.com/morph-l2/morph,General,General Purpose,"Ethereum L2 with optimistic zkEVM"
Sei,L1,https://github.com/sei-protocol/sei-chain,Industry Specific,Trading,"EVM-compatible blockchain optimized for trading"
Canto,L1,https://github.com/Canto-Network/Canto,General,DeFi,"EVM-compatible blockchain with free public infrastructure"
Kava,L1,https://github.com/Kava-Labs/kava,General,DeFi,"Cosmos-based blockchain with EVM compatibility"
Evmos,L1,https://github.com/evmos/evmos,General,Cross-chain,"EVM on Cosmos for cross-chain dApps"
Injective Protocol,L1,https://github.com/InjectiveLabs/injective-core,Industry Specific,DeFi/Trading,"Layer 1 blockchain for decentralized finance"
Moonriver,L1,https://github.com/PureStake/moonbeam,General,Cross-chain,"Kusama parachain with EVM compatibility"
Oasis Emerald,L1,https://github.com/oasisprotocol/emerald-paratime,General,Privacy,"Privacy-focused EVM paratime on Oasis Network"
Acala,L1,https://github.com/AcalaNetwork/Acala,Industry Specific,DeFi,"Polkadot parachain for DeFi applications"
Karura,L1,https://github.com/AcalaNetwork/Acala,Industry Specific,DeFi,"Kusama parachain for DeFi (Acala's canary network)"
